runnumber,run_time,number_of_events,number_of_tracks,number_of_tracks_PIX,number_of_tracks_FPIX,number_of_tracks_BPIX,number_of_tracks_TID,number_of_tracks_TIDM,number_of_tracks_TIDP,number_of_tracks_TIB,number_of_tracks_TEC,number_of_tracks_TECP,number_of_tracks_TECM,number_of_tracks_TOB,number_of_tracks_TID_1,number_of_tracks_TID_1_plus,number_of_tracks_TID_1_minus,number_of_tracks_TID_2,number_of_tracks_TID_2_plus,number_of_tracks_TID_2_minus,number_of_tracks_TID_3,number_of_tracks_TID_3_plus,number_of_tracks_TID_3_minus,number_of_tracks_TEC_1,number_of_tracks_TEC_1_plus,number_of_tracks_TEC_1_minus,number_of_tracks_TEC_2,number_of_tracks_TEC_2_plus,number_of_tracks_TEC_2_minus,number_of_tracks_TEC_3,number_of_tracks_TEC_3_plus,number_of_tracks_TEC_3_minus,number_of_tracks_TEC_4,number_of_tracks_TEC_4_plus,number_of_tracks_TEC_4_minus,number_of_tracks_TEC_5,number_of_tracks_TEC_5_plus,number_of_tracks_TEC_5_minus,number_of_tracks_TEC_6,number_of_tracks_TEC_6_plus,number_of_tracks_TEC_6_minus,number_of_tracks_TEC_7,number_of_tracks_TEC_7_plus,number_of_tracks_TEC_7_minus,number_of_tracks_TEC_8,number_of_tracks_TEC_8_plus,number_of_tracks_TEC_8_minus,number_of_tracks_TEC_9,number_of_tracks_TEC_9_plus,number_of_tracks_TEC_9_minus
344064,244    ,569,319,29,13,16,46,19,27,153,50,22,28,304,24,15,9,17,10,7,14,7,7,39,17,22,32,14,18,32,13,19,31,10,21,25,9,16,19,8,11,16,6,10,11,3,8,4,1,3
344065,475    ,518,301,29,5,24,42,19,24,152,52,26,27,283,21,16,6,11,6,6,22,10,12,41,19,23,41,19,23,35,15,21,27,14,14,26,10,17,22,7,16,15,6,9,14,4,11,8,2,7
344067,248    ,562,342,36,11,26,49,16,33,171,65,38,28,319,31,21,10,17,12,5,9,6,3,49,29,21,48,31,18,34,22,12,30,16,14,33,19,14,28,16,12,21,12,9,16,8,8,11,4,7
344184,1651   ,4993,2613,263,74,195,375,176,199,1327,465,219,246,2494,185,88,97,126,71,55,135,72,63,370,180,190,334,144,190,289,129,160,246,106,140,206,92,114,161,70,91,117,56,61,74,35,39,36,16,20
344185,2947   ,6444,3345,289,76,225,487,218,269,1615,632,321,312,3187,243,134,109,167,90,77,171,96,75,514,262,253,449,226,224,386,198,189,327,171,157,286,142,145,216,106,111,155,74,82,101,41,60,51,22,29
344186,33606  ,136580,71647,6823,1862,5252,10139,4696,5449,35703,12949,6507,6480,68557,5078,2591,2490,3470,1840,1631,3782,2123,1660,10306,5172,5169,9160,4568,4614,8076,3892,4200,6596,3133,3475,5609,2635,2986,4383,2029,2361,3016,1453,1569,2010,938,1077,1163,564,602
344348,784    ,1002,585,0,0,0,74,42,32,322,72,28,44,564,33,12,21,23,10,13,22,10,12,54,21,33,47,15,32,44,13,31,36,12,24,34,13,21,23,11,12,18,9,9,13,8,5,7,4,3
344366,4725   ,7489,4309,354,79,286,559,287,272,2160,611,253,358,4137,278,127,151,192,102,90,200,100,100,492,206,286,427,169,258,329,126,203,267,107,160,224,95,129,170,73,97,112,49,63,72,25,47,41,14,27
344064,37772  ,172214,101239,8704,2292,6747,14098,6605,7529,48404,19588,9997,9768,95543,7081,3641,3470,4892,2668,2240,5380,2968,2427,15482,7926,7715,13895,6991,7048,12534,6143,6524,10455,4997,5572,9301,4420,4989,7480,3499,4074,5458,2546,2985,3967,1842,2189,2456,1124,1372
344065,3308   ,13356,7827,653,182,503,1106,552,557,3768,1529,762,781,7362,568,273,298,359,157,202,429,219,212,1223,607,628,1095,527,579,1011,482,538,831,398,442,724,354,378,582,277,310,439,216,227,309,155,157,199,97,106
344067,17177  ,80090,46790,3911,1049,3004,6579,3048,3541,22196,8880,4545,4413,44127,3331,1713,1628,2311,1254,1064,2403,1317,1091,6987,3579,3476,6258,3154,3161,5628,2760,2921,4793,2364,2478,4245,2087,2198,3453,1698,1790,2519,1258,1291,1835,919,934,1159,595,576
344068,11801  ,17952,10418,877,248,665,1493,720,778,4990,1974,1002,993,9845,772,389,387,512,259,256,544,298,249,1560,794,786,1406,700,723,1200,569,647,1027,473,566,935,430,516,767,350,427,552,270,292,386,183,212,243,118,131
344124,44     ,2,2,0,0,0,1,1,1,2,1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
344128,108    ,23,14,0,0,0,5,2,4,5,9,5,5,12,5,4,2,2,2,1,2,2,1,8,5,4,6,3,4,7,3,4,6,3,4,5,3,3,3,2,1,2,2,0,2,1,1,2,1,2
344184,1527   ,1647,864,70,25,48,131,61,70,431,166,78,88,827,62,36,26,41,22,19,54,28,26,133,65,68,113,56,57,103,47,56,86,41,45,80,36,44,66,27,39,36,14,22,22,7,15,14,8,6
344185,3435   ,8292,4403,426,135,306,633,301,332,2172,842,398,444,4215,305,152,153,229,129,100,241,121,120,684,332,352,577,260,317,485,211,274,411,177,234,356,148,208,262,107,155,172,74,98,114,46,68,67,24,43
344186,37294  ,5625,2943,293,78,230,413,209,204,1468,563,275,290,2812,223,102,121,142,66,76,161,79,82,459,225,236,402,182,221,363,170,193,274,131,143,233,110,123,197,93,104,128,54,74,90,41,49,59,28,31
344348,2205   ,7192,4170,0,0,0,568,304,264,2034,531,221,310,4003,294,131,163,192,88,104,177,90,87,411,174,237,340,139,201,298,116,182,245,95,150,210,77,133,168,68,100,116,52,64,81,41,40,48,23,25
344349,21     ,182,98,0,0,0,8,4,4,41,19,9,10,93,4,1,3,4,3,1,2,1,1,17,8,9,9,3,6,9,4,5,8,3,5,6,3,3,5,3,2,2,1,1,0,0,0,0,0,0
344350,314    ,1270,707,0,0,0,81,45,36,368,96,42,54,679,41,17,24,23,11,12,29,16,13,79,34,45,68,28,40,45,21,24,44,18,26,35,13,22,26,14,12,15,9,6,13,9,4,7,5,2
344358,1426   ,39,22,1,0,1,3,1,2,8,12,9,5,20,2,1,1,1,1,0,2,2,0,11,8,5,12,9,5,11,8,5,7,4,5,8,5,4,6,5,2,4,3,1,1,1,0,1,1,0
344362,5784   ,107,59,4,2,2,11,7,4,21,33,16,21,54,6,1,5,9,3,6,6,3,3,29,14,19,24,10,17,26,12,16,19,7,13,16,7,10,12,6,8,9,5,5,7,5,2,6,4,2
344363,256    ,3,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
344366,7263   ,20124,11714,1039,248,821,1382,661,722,5948,1452,673,783,11278,676,330,347,449,256,193,479,259,220,1163,540,627,964,439,528,826,385,444,667,303,366,573,277,299,433,223,213,298,154,146,214,113,102,129,70,60
343772,32     ,151,86,7,5,4,13,7,6,35,12,5,7,84,3,2,1,2,1,1,8,3,5,9,4,5,7,4,3,3,1,2,3,1,2,1,0,1,4,2,2,2,1,1,2,1,1,2,1,1
343854,233    ,51,25,1,1,0,9,0,9,7,18,14,4,22,4,4,0,4,4,0,3,3,0,14,10,4,15,14,1,15,12,3,11,8,3,11,8,3,6,4,2,2,2,0,2,2,0,2,2,0
343860,1105   ,5201,3062,284,84,210,430,195,235,1434,556,288,269,2907,206,116,90,155,90,65,177,93,84,421,219,203,391,196,196,352,172,181,301,154,148,265,141,125,221,115,107,172,87,86,127,65,63,66,27,40
343862,4544   ,20641,12114,1044,282,801,1625,734,891,5786,2246,1154,1096,11469,800,409,391,569,313,256,581,339,242,1744,895,852,1597,825,772,1440,715,725,1208,585,623,1025,478,547,804,381,423,585,280,305,410,197,213,233,99,134
344064,44856  ,16903,9986,824,206,659,1389,647,746,4746,1918,981,955,9419,708,375,336,470,249,224,522,293,232,1502,780,740,1374,686,703,1260,628,644,1055,528,541,930,450,492,764,357,413,573,270,310,409,189,226,248,111,142
343862,34441  ,152541,89452,7498,2025,5770,12408,5770,6640,42677,17046,8480,8599,84458,6165,3152,3015,4352,2346,2007,4588,2536,2053,13362,6638,6755,12063,5952,6128,10841,5136,5714,9037,4234,4810,7970,3646,4330,6400,2937,3469,4518,2096,2427,3261,1554,1711,1922,895,1032
343864,2102   ,5014,2980,250,70,188,388,179,209,1390,530,270,260,2829,176,89,87,134,77,57,146,75,71,422,221,201,378,190,188,338,164,174,276,120,156,254,113,141,207,97,110,151,63,88,97,40,57,64,28,36
344366,47     ,204,119,7,4,6,20,8,12,67,14,5,9,115,9,5,4,5,4,1,8,5,3,11,3,8,11,5,6,7,3,4,7,4,3,5,3,2,4,2,2,2,0,2,3,1,2,0,0,0
344409,163    ,660,365,26,4,22,45,19,26,185,51,23,28,353,19,9,10,14,9,5,19,11,8,39,16,23,32,13,19,29,16,13,20,11,9,19,11,8,20,11,9,11,6,5,8,4,4,4,3,1
344416,8      ,113,66,6,1,5,6,3,3,32,6,3,3,65,5,2,3,2,1,1,1,1,0,6,3,3,4,1,3,3,1,2,1,0,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
344420,1377   ,4829,2802,246,67,184,322,163,159,1416,341,149,192,2682,166,74,92,104,53,51,98,58,40,264,118,146,239,105,134,205,87,118,177,78,99,164,69,95,125,61,64,93,45,48,63,32,31,32,18,14
343937,14542  ,60504,35442,3001,823,2318,4877,2304,2579,16873,6857,3411,3504,33448,2452,1269,1189,1684,879,808,1864,981,884,5394,2693,2749,4897,2379,2560,4366,2064,2342,3695,1738,1992,3286,1543,1772,2654,1249,1429,1926,899,1045,1390,643,760,872,397,486
343993,3967   ,179,135,4,1,3,38,25,18,46,84,50,57,107,26,12,19,22,11,14,23,13,10,75,43,50,71,43,47,74,44,46,66,39,42,59,34,37,54,32,31,47,23,32,44,23,30,38,18,26
344001,6988   ,29698,17553,1487,421,1130,2431,1138,1299,8337,3435,1751,1708,16496,1203,622,586,870,456,417,918,501,418,2666,1356,1331,2384,1203,1200,2197,1067,1145,1869,891,993,1686,788,914,1397,640,770,971,448,533,732,343,394,449,220,235
344049,95     ,558,309,0,0,0,36,16,20,151,59,25,34,292,18,10,8,11,6,5,15,8,7,52,24,28,37,16,21,36,12,24,35,10,25,28,9,19,20,3,17,16,5,11,8,3,5,3,2,1
344063,5372   ,24234,14081,1145,291,893,1936,884,1055,6649,2755,1378,1404,13295,990,517,476,655,385,271,715,391,325,2158,1092,1089,1968,971,1017,1788,871,936,1458,694,777,1290,588,716,1048,491,567,748,351,405,553,259,300,330,148,185
344423,9623   ,35375,20219,1759,421,1392,2494,1229,1265,10309,2507,1146,1367,19432,1265,613,652,801,434,367,781,418,363,1953,902,1056,1711,790,925,1464,669,797,1189,533,658,1056,494,564,833,421,414,589,311,280,388,210,179,213,125,88
344424,1687   ,6346,3691,322,90,238,458,239,220,1853,463,222,242,3544,230,103,127,152,79,74,145,69,77,372,185,188,323,149,175,268,113,156,220,101,120,187,94,94,144,80,65,116,64,53,82,49,34,49,33,16
344426,610    ,2354,1358,100,18,85,171,84,87,658,177,87,91,1300,81,43,38,54,27,27,59,29,30,133,67,67,118,57,61,95,43,52,86,38,48,71,33,38,52,22,30,39,19,20,25,13,12,11,8,3
344430,90     ,4,2,0,0,0,1,0,1,1,1,1,1,2,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0,1,1,0
344432,76     ,245,141,15,6,11,14,6,8,71,23,8,15,135,8,5,3,5,3,2,3,2,1,16,7,9,14,4,10,10,3,7,11,4,7,12,4,8,9,3,6,6,2,4,5,2,3,1,0,1
344433,963    ,3587,2074,179,44,142,264,136,128,1030,261,123,138,2000,131,55,76,96,54,42,87,52,35,204,99,105,173,84,89,140,64,76,116,55,61,100,48,52,78,40,38,59,31,28,42,23,19,25,13,12
344434,473    ,1660,980,105,29,79,131,66,65,472,124,56,69,949,64,30,34,46,22,24,35,18,17,105,46,59,85,36,49,60,28,33,48,20,29,40,18,22,34,13,21,23,11,12,13,6,7,7,3,4
344436,154    ,649,364,0,0,0,47,22,25,175,46,16,30,352,26,15,11,16,9,7,14,6,8,36,12,24,32,12,20,24,9,15,19,8,11,16,5,11,13,5,8,10,4,6,6,2,4,4,1,3
344420,12333  ,45152,26134,2207,526,1757,3094,1554,1541,13195,3298,1451,1855,25128,1550,746,805,1080,567,514,952,502,451,2643,1161,1488,2250,1005,1252,1898,854,1051,1511,686,831,1303,601,707,1065,521,548,723,381,346,515,279,238,294,169,126
344421,283    ,1080,629,51,12,40,76,39,37,309,87,43,44,602,43,20,23,22,12,10,26,15,11,65,29,36,59,32,27,53,27,26,38,18,20,29,14,15,33,18,15,20,11,9,8,7,1,7,5,2
344423,48590  ,179122,103730,9309,2337,7272,12613,6281,6335,52479,13214,5842,7397,99609,6224,2916,3310,4207,2249,1960,4111,2226,1887,10364,4617,5769,8903,3926,5000,7480,3195,4305,6107,2604,3519,5308,2376,2945,4232,2048,2195,2950,1517,1440,2015,1062,960,1176,661,519
343266,31936  ,22784,13109,743,294,452,1471,656,816,6791,1246,600,650,12685,736,393,344,483,259,224,413,251,163,1007,492,518,785,342,447,657,276,385,527,209,319,453,180,275,361,142,222,243,96,149,182,71,113,116,44,73
343268,7652   ,1412,804,50,19,31,94,41,53,428,74,30,45,778,50,25,25,32,19,13,27,16,11,58,26,33,47,16,31,49,17,33,34,10,24,26,9,17,22,9,13,17,7,10,12,4,8,8,2,6
